                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1313,                 3.6264,                 4.2884,                0.00277,                0.91925,                0.11981,                0.02527,                 3.1275,                 3.9946,                 4.1508,                0.00024,                0.00024,                0.00024
                      2,                 3.1337,                 3.5822,                 4.1735,                0.00275,                0.91925,                0.08393,                0.01954,                 3.0678,                 3.9537,                 4.1239,             0.00049752,             0.00049752,             0.00049752
                      3,                 2.9903,                 3.3846,                 4.0315,                0.00273,                0.92547,                0.34556,                0.09746,                 2.8749,                 3.7984,                 4.0297,             0.00075248,             0.00075248,             0.00075248
                      4,                   2.88,                 3.3112,                 3.8531,                0.00274,                0.92547,                0.23402,                0.06531,                 2.9059,                 3.6586,                  4.039,              0.0010049,              0.0010049,              0.0010049
                      5,                 2.8239,                 3.2218,                 3.6904,                0.00272,                0.92547,                0.25427,                0.07022,                 2.9133,                 3.5718,                 4.1197,              0.0012547,              0.0012547,              0.0012547
                      6,                 2.7206,                 3.0587,                 3.5175,                0.00261,                0.87578,                0.01302,                0.00353,                  3.491,                 3.4755,                 4.6115,              0.0015019,              0.0015019,              0.0015019
                      7,                 2.6994,                 2.9632,                 3.4129,                0.00678,                0.78261,                0.01385,                 0.0031,                 4.0895,                 3.5978,                 5.3339,              0.0017465,              0.0017465,              0.0017465
                      8,                 2.6114,                 3.0378,                 3.3741,                0.00572,                0.53416,                0.01018,                0.00206,                 4.3766,                 3.8489,                 6.4348,              0.0019307,              0.0019307,              0.0019307
                      9,                 2.6026,                 2.9875,                  3.272,                0.04039,                0.15528,                0.01952,                0.00576,                 3.1628,                 4.8503,                 4.4556,              0.0019307,              0.0019307,              0.0019307
                     10,                 2.5673,                 2.9084,                 3.2165,                 0.0283,                0.45963,                0.02211,                0.00622,                 2.6708,                 26.422,                 3.6317,              0.0019208,              0.0019208,              0.0019208
