                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2549,                 3.6331,                 4.1773,                0.00453,                0.77419,                0.08146,                0.02132,                 2.9293,                 3.5934,                 4.1569,                0.00016,                0.00016,                0.00016
                      2,                 3.1148,                 3.3996,                 4.1096,                0.00453,                 0.7788,                0.09544,                0.02824,                 2.9167,                 3.6005,                 4.1451,             0.00033832,             0.00033832,             0.00033832
                      3,                 3.0956,                 3.3055,                 4.0061,                 0.0046,                0.79724,                0.03943,                 0.0113,                  2.895,                 3.6044,                 4.1193,             0.00051485,             0.00051485,             0.00051485
                      4,                 3.1679,                 3.2208,                 3.9296,                0.00461,                0.80184,                0.11928,                 0.0349,                  2.871,                 3.6137,                 4.0772,              0.0006896,              0.0006896,              0.0006896
                      5,                 2.8034,                 3.1622,                  3.781,                0.00454,                0.79263,                0.09822,                0.02882,                 2.8201,                 3.6251,                 3.9358,             0.00086258,             0.00086258,             0.00086258
                      6,                 2.9025,                 3.0245,                 3.6174,                0.00462,                0.80645,                0.08397,                 0.0211,                 2.8298,                 3.7292,                 3.7433,              0.0010338,              0.0010338,              0.0010338
                      7,                 2.9592,                 3.0421,                 3.6152,                 0.0273,                  0.553,                0.08455,                0.02122,                 2.8191,                 8.2262,                 4.0592,              0.0012032,              0.0012032,              0.0012032
                      8,                  2.861,                 3.0053,                 3.5136,                0.03005,                0.56682,                 0.0665,                0.01568,                 2.8935,                 21.363,                 3.9768,              0.0013708,              0.0013708,              0.0013708
                      9,                 2.6828,                 3.0244,                  3.398,                0.02175,                0.57604,                0.07661,                0.01859,                  2.846,                 43.439,                 4.7487,              0.0015366,              0.0015366,              0.0015366
                     10,                  2.697,                 2.9525,                 3.3433,                0.02975,                0.56221,                0.04712,                0.01207,                 2.8332,                 17.817,                 4.2788,              0.0017007,              0.0017007,              0.0017007
                     11,                 2.8172,                 3.0329,                 3.3294,                0.04398,                 0.4424,                0.04924,                0.01258,                 2.7567,                 18.423,                 3.9805,               0.001863,               0.001863,               0.001863
                     12,                 2.7896,                 3.0454,                 3.3382,                0.03668,                0.52995,                0.03584,                0.01055,                 2.7826,                 8.4705,                 3.7192,              0.0018911,              0.0018911,              0.0018911
                     13,                 2.6944,                 2.8281,                 3.2009,                0.10599,                0.26728,                0.06601,                0.01728,                  2.781,                 5.6966,                 3.6916,              0.0018911,              0.0018911,              0.0018911
                     14,                 2.6411,                 2.8586,                 3.2038,                0.06769,                0.19106,                0.04497,                0.01148,                 2.8182,                  3.673,                 3.5989,              0.0018812,              0.0018812,              0.0018812
                     15,                  2.621,                 2.7242,                 3.0784,                0.00429,                0.73733,                0.00884,                0.00226,                 3.2594,                 3.5792,                 4.5344,              0.0018713,              0.0018713,              0.0018713
                     16,                 2.6503,                 2.7595,                 3.1653,                0.20135,                0.25095,                0.12931,                0.03979,                 2.7694,                 3.1961,                 4.0376,              0.0018614,              0.0018614,              0.0018614
                     17,                 2.5676,                 2.6962,                 3.0935,                0.15503,                0.21659,                0.10656,                0.03111,                 2.6226,                   3.16,                 3.8033,              0.0018515,              0.0018515,              0.0018515
