                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1425,                 3.9517,                 4.3496,                0.00359,                0.90351,                0.02641,                0.00504,                 2.9358,                 3.9459,                 4.1579,                0.00012,                0.00012,                0.00012
                      2,                 3.0699,                 3.8212,                 4.2366,                0.00375,                0.90351,                 0.0309,                0.00608,                 2.9323,                 3.9424,                 4.1549,             0.00025828,             0.00025828,             0.00025828
                      3,                 3.0008,                 3.7218,                 4.1784,                 0.0038,                0.90351,                0.01346,                0.00312,                 2.9295,                 3.9302,                 4.1494,             0.00039472,             0.00039472,             0.00039472
                      4,                 3.0378,                 3.6395,                  4.123,                0.00376,                0.90351,                0.01546,                0.00367,                 2.9264,                 3.9147,                 4.1414,             0.00052931,             0.00052931,             0.00052931
                      5,                 2.9792,                 3.5683,                 4.0698,                 0.0037,                0.90351,                 0.0139,                0.00315,                  2.914,                  3.881,                 4.1218,             0.00066205,             0.00066205,             0.00066205
                      6,                 2.8356,                 3.5691,                 4.0004,                0.00364,                0.90351,                0.03536,                0.00782,                 2.8512,                 3.8155,                 4.0691,             0.00079294,             0.00079294,             0.00079294
                      7,                 2.8627,                 3.5268,                 3.9275,                0.00343,                0.90351,                0.01303,                0.00381,                 2.6161,                 3.6882,                 3.8406,             0.00092198,             0.00092198,             0.00092198
                      8,                 2.8852,                 3.4661,                 3.8121,                0.00354,                0.89474,                 0.0119,                 0.0031,                 2.7881,                 3.6731,                 3.9649,              0.0010492,              0.0010492,              0.0010492
                      9,                 2.8434,                 3.4697,                 3.7659,                 0.0034,                0.90351,                0.05648,                  0.014,                 2.6248,                 3.7031,                 3.7424,              0.0011745,              0.0011745,              0.0011745
                     10,                 2.8912,                 3.4363,                 3.6888,                0.00342,                0.89474,                0.02859,                0.00743,                 2.7545,                 3.5564,                 3.9498,               0.001298,               0.001298,               0.001298
                     11,                 2.7624,                  3.412,                 3.5598,                0.00535,                0.48246,                0.00964,                0.00221,                 3.1949,                 3.9508,                 4.5577,              0.0014197,              0.0014197,              0.0014197
                     12,                  2.637,                 3.3525,                 3.4912,                0.00639,                0.50877,                  0.019,                 0.0036,                 3.3182,                 4.0489,                  4.634,              0.0015395,              0.0015395,              0.0015395
                     13,                 2.6524,                 3.2267,                 3.4249,                0.00611,                0.47368,                0.01755,                0.00349,                 3.2902,                 4.0217,                 4.6206,              0.0016574,              0.0016574,              0.0016574
                     14,                 2.6176,                 3.2136,                 3.3684,                0.00372,                0.92105,                0.01513,                0.00396,                 2.9577,                 3.5602,                 4.0671,              0.0017735,              0.0017735,              0.0017735
                     15,                 2.5696,                 3.1338,                 3.2947,                0.00342,                0.94737,                0.01422,                0.00489,                 2.5301,                 3.7591,                 3.0875,              0.0018152,              0.0018152,              0.0018152
                     16,                 2.6298,                 3.0559,                  3.274,                0.02585,                0.45614,                0.02625,                0.00643,                 3.0709,                 3.7142,                 3.8322,              0.0018152,              0.0018152,              0.0018152
                     17,                 2.7017,                 3.0484,                 3.2616,                0.04259,                0.05263,                0.02077,                0.00593,                 2.9016,                 3.8613,                 3.8481,               0.001802,               0.001802,               0.001802
                     18,                 2.5201,                 3.0506,                 3.1743,                0.13816,                0.05263,                0.02979,                0.01021,                 2.8142,                 3.7858,                 3.7667,              0.0017888,              0.0017888,              0.0017888
                     19,                 2.5926,                  2.837,                 3.1639,                0.14014,                 0.2193,                0.07998,                0.02606,                 2.6489,                 5.7873,                 3.2829,              0.0017756,              0.0017756,              0.0017756
                     20,                 2.6231,                  2.889,                 3.1363,                0.18927,                0.57895,                0.18261,                0.05368,                 2.2988,                 13.998,                 3.0279,              0.0017624,              0.0017624,              0.0017624
                     21,                 2.5339,                 2.7657,                 3.0475,                0.14541,                0.51754,                0.16582,                0.05346,                 2.2759,                 15.903,                 3.0129,              0.0017492,              0.0017492,              0.0017492
                     22,                 2.4402,                 2.6209,                 3.0627,                0.16565,                0.30702,                0.13508,                0.04948,                 2.2113,                 8.6014,                 2.8545,               0.001736,               0.001736,               0.001736
                     23,                  2.496,                 2.6294,                 3.0667,                0.26753,                0.30702,                0.22318,                0.07785,                  2.182,                 4.5222,                 2.7627,              0.0017228,              0.0017228,              0.0017228
                     24,                 2.4996,                 2.6115,                 2.9721,                0.21221,                0.40351,                0.18404,                  0.063,                 2.1918,                 16.301,                 2.7403,              0.0017096,              0.0017096,              0.0017096
                     25,                 2.4883,                 2.6714,                 2.9348,                0.11175,                0.70175,                0.25597,                0.08791,                 2.1675,                 28.101,                 2.8375,              0.0016964,              0.0016964,              0.0016964
