                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4158,                 3.8226,                 4.3054,                0.00244,                0.59459,                0.00626,                0.00231,                 3.3944,                 4.3748,                  4.159,                  2e-05,                  2e-05,                  2e-05
                      2,                 3.5245,                 3.7525,                  4.288,                0.00244,                0.59459,                0.00775,                 0.0027,                 3.3943,                 4.3754,                  4.159,              5.946e-05,              5.946e-05,              5.946e-05
                      3,                 3.3341,                 3.7017,                 4.3034,                0.00267,                0.64865,                0.01496,                0.00395,                 3.3938,                 4.3757,                 4.1588,               9.82e-05,               9.82e-05,               9.82e-05
                      4,                 3.5322,                 3.7381,                 4.2473,                0.00256,                0.62162,                0.05758,                0.01682,                  3.393,                 4.3754,                 4.1583,             0.00013622,             0.00013622,             0.00013622
                      5,                 3.2972,                 3.7725,                 4.2405,                0.00267,                0.64865,                0.03355,                0.00942,                 3.3917,                 4.3745,                 4.1575,             0.00017352,             0.00017352,             0.00017352
                      6,                  3.204,                 3.7475,                 4.2144,                0.00244,                0.59459,                0.02846,                 0.0069,                   3.39,                 4.3738,                 4.1564,              0.0002101,              0.0002101,              0.0002101
                      7,                 3.4176,                 3.6135,                 4.1771,                0.00244,                0.59459,                0.02748,                0.00666,                 3.3878,                 4.3726,                  4.155,             0.00024596,             0.00024596,             0.00024596
                      8,                 3.3802,                 3.6617,                 4.2355,                0.00256,                0.62162,                0.02723,                0.00657,                 3.3847,                 4.3699,                 4.1531,              0.0002811,              0.0002811,              0.0002811
                      9,                 3.4338,                 3.5454,                 4.1634,                0.00267,                0.64865,                0.02016,                0.00564,                 3.3828,                 4.3663,                 4.1517,             0.00031552,             0.00031552,             0.00031552
                     10,                 3.3058,                 3.6023,                 4.1838,                0.00256,                0.62162,                 0.0268,                 0.0062,                  3.379,                 4.3606,                 4.1496,             0.00034922,             0.00034922,             0.00034922
                     11,                 3.5307,                 3.4994,                 4.1593,                0.00244,                0.59459,                0.02635,                 0.0064,                 3.3737,                 4.3532,                 4.1469,              0.0003822,              0.0003822,              0.0003822
                     12,                 3.2506,                  3.493,                 4.1302,                0.00267,                0.64865,                0.02772,                0.00669,                 3.3686,                 4.3421,                 4.1435,             0.00041446,             0.00041446,             0.00041446
                     13,                 3.3417,                 3.5291,                 4.1279,                0.00244,                0.59459,                  0.055,                0.01124,                 3.3592,                 4.3328,                 4.1399,               0.000446,               0.000446,               0.000446
                     14,                 3.4224,                 3.6828,                 4.1927,                0.00267,                0.64865,                0.02196,                0.00549,                 3.3524,                 4.3223,                 4.1357,             0.00047682,             0.00047682,             0.00047682
                     15,                 3.3219,                 3.7486,                 4.1199,                0.00267,                0.64865,                0.03574,                 0.0067,                 3.3431,                 4.3139,                 4.1324,             0.00050692,             0.00050692,             0.00050692
                     16,                 3.3777,                 3.4899,                 4.1197,                0.00256,                0.62162,                0.03167,                0.00857,                 3.3347,                 4.3039,                 4.1282,              0.0005363,              0.0005363,              0.0005363
                     17,                 3.3116,                 3.3835,                  4.041,                0.00267,                0.64865,                0.06378,                0.01238,                 3.3252,                 4.2891,                 4.1228,             0.00056496,             0.00056496,             0.00056496
                     18,                 3.3508,                 3.4724,                 4.0779,                0.00267,                0.64865,                0.05787,                0.01109,                 3.3182,                  4.276,                 4.1187,              0.0005929,              0.0005929,              0.0005929
                     19,                 3.2561,                 3.4335,                 4.0299,                0.00267,                0.64865,                0.07101,                0.01257,                 3.3085,                 4.2671,                 4.1142,             0.00062012,             0.00062012,             0.00062012
                     20,                 3.2435,                 3.4653,                 4.0492,                0.00278,                0.67568,                0.07356,                0.01269,                 3.3145,                 4.2517,                 4.1168,             0.00064662,             0.00064662,             0.00064662
                     21,                 3.2795,                 3.4221,                 3.9869,                0.00278,                0.67568,                0.02123,                0.00576,                  3.322,                 4.2421,                 4.1186,              0.0006724,              0.0006724,              0.0006724
                     22,                  3.219,                 3.5128,                 4.0097,                0.00267,                0.64865,                0.01206,                0.00359,                 3.3443,                 4.2411,                 4.1326,             0.00069746,             0.00069746,             0.00069746
                     23,                 3.2188,                 3.3975,                 3.9567,                0.00267,                0.64865,                0.00972,                0.00312,                  3.371,                  4.226,                 4.1494,              0.0007218,              0.0007218,              0.0007218
                     24,                 3.2185,                 3.4021,                 3.8863,                0.00256,                0.62162,                 0.0093,                0.00301,                  3.418,                 4.2154,                 4.1825,             0.00074542,             0.00074542,             0.00074542
                     25,                  3.208,                 3.3121,                 3.8895,                0.00256,                0.62162,                0.00873,                  0.003,                 3.4569,                 4.2004,                  4.216,             0.00076832,             0.00076832,             0.00076832
                     26,                 2.7786,                 3.3848,                 3.8893,                0.00244,                0.59459,                0.01043,                0.00363,                 3.4539,                 4.1814,                 4.2249,              0.0007905,              0.0007905,              0.0007905
                     27,                 3.1003,                 3.3925,                 3.9038,                0.00233,                0.56757,                0.01338,                0.00378,                 3.4198,                 4.1514,                 4.2109,             0.00081196,             0.00081196,             0.00081196
                     28,                 3.0816,                 3.3347,                 3.8634,                0.00233,                0.56757,                0.01338,                0.00378,                 3.4198,                 4.1514,                 4.2109,              0.0008327,              0.0008327,              0.0008327
                     29,                 3.1189,                 3.1729,                 3.8235,                0.00267,                0.64865,                0.05471,                0.02521,                 3.3628,                 4.1194,                 4.1727,             0.00085272,             0.00085272,             0.00085272
                     30,                 3.0337,                 3.3061,                 3.8245,                0.00256,                0.62162,                0.04265,                0.01892,                  3.292,                 4.0856,                 4.1201,             0.00087202,             0.00087202,             0.00087202
                     31,                 3.0702,                 3.2175,                 3.8009,                0.00256,                0.62162,                0.04265,                0.01892,                  3.292,                 4.0856,                 4.1201,              0.0008906,              0.0008906,              0.0008906
                     32,                 3.1448,                 3.2421,                  3.775,                0.00267,                0.64865,                0.04341,                0.01742,                  3.237,                 4.0631,                 4.0692,             0.00090846,             0.00090846,             0.00090846
                     33,                 3.1406,                 3.3148,                  3.743,                0.00267,                0.64865,                0.01205,                0.00395,                 3.2451,                  4.008,                 4.0719,              0.0009256,              0.0009256,              0.0009256
                     34,                 3.1926,                 3.3385,                 3.8044,                0.00267,                0.64865,                0.01205,                0.00395,                 3.2451,                  4.008,                 4.0719,             0.00094202,             0.00094202,             0.00094202
                     35,                 2.9543,                 3.0687,                 3.6696,                0.00267,                0.64865,                0.01139,                0.00359,                 3.2785,                 3.9989,                 4.1082,             0.00095772,             0.00095772,             0.00095772
                     36,                 3.1454,                 3.1422,                 3.7033,                0.00244,                0.59459,                0.00893,                0.00315,                 3.2692,                 4.0053,                 4.0751,              0.0009727,              0.0009727,              0.0009727
                     37,                 3.0767,                 3.2045,                 3.7408,                0.00244,                0.59459,                0.00893,                0.00315,                 3.2692,                 4.0053,                 4.0751,             0.00098696,             0.00098696,             0.00098696
                     38,                 3.0389,                 3.2457,                 3.6679,                0.00267,                0.64865,                0.00895,                0.00289,                 3.2685,                 3.9899,                 4.0329,              0.0010005,              0.0010005,              0.0010005
                     39,                 3.0696,                 3.3153,                 3.6914,                0.00256,                0.62162,                0.03303,                0.00622,                 3.2675,                  3.963,                 3.9452,              0.0010133,              0.0010133,              0.0010133
