                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1555,                  3.351,                 4.2778,                0.00386,                 0.5212,                 0.0595,                0.01638,                 2.7438,                 3.4317,                 4.1544,                0.00024,                0.00024,                0.00024
                      2,                 3.1029,                 3.2115,                 4.1666,                0.00389,                 0.5212,                0.21678,                0.08709,                 2.6846,                 3.4087,                 4.1176,             0.00049752,             0.00049752,             0.00049752
                      3,                 2.9675,                 3.1623,                 4.0601,                0.00381,                 0.5212,                0.22165,                0.08757,                 2.6743,                 3.3497,                  4.061,             0.00075248,             0.00075248,             0.00075248
                      4,                 2.8191,                  3.044,                 3.8569,                0.00376,                 0.5212,                0.05956,                0.01905,                 2.6238,                 3.2128,                 3.8916,              0.0010049,              0.0010049,              0.0010049
                      5,                 2.8313,                 3.0318,                 3.7395,                 0.0036,                0.50623,                0.04994,                0.01649,                 2.6413,                  3.295,                 3.6987,              0.0012547,              0.0012547,              0.0012547
                      6,                 2.7753,                 2.9798,                 3.5804,                0.01274,                0.48379,                0.04674,                0.01579,                 3.6192,                 3.3633,                 8.7738,              0.0015019,              0.0015019,              0.0015019
                      7,                 2.8265,                 2.9242,                 3.5234,                0.01795,                0.48379,                0.04606,                0.01611,                 3.5759,                 3.3251,                 5.9643,              0.0017465,              0.0017465,              0.0017465
                      8,                 2.8041,                 2.9158,                 3.4497,                0.08351,                0.03318,                0.02611,                0.01059,                 3.2508,                 3.5531,                 5.5715,              0.0019307,              0.0019307,              0.0019307
                      9,                 2.6922,                 2.8317,                 3.3641,                  0.175,                0.09476,                 0.0361,                 0.0103,                 2.7498,                  5.393,                 4.1928,              0.0019307,              0.0019307,              0.0019307
                     10,                 2.6266,                 2.7598,                 3.2792,                0.04132,                 0.2419,                0.01788,                0.00532,                 2.5817,                 96.148,                 4.4522,              0.0019208,              0.0019208,              0.0019208
                     11,                 2.6463,                 2.8094,                 3.3039,                0.03842,                0.13965,                0.01565,                0.00408,                 2.6257,                 31.736,                 3.7687,              0.0019109,              0.0019109,              0.0019109
                     12,                 2.4964,                 2.6775,                 3.2393,                0.26601,                0.25187,                0.14502,                0.04061,                  2.504,                 3.6328,                  3.609,               0.001901,               0.001901,               0.001901
                     13,                 2.5198,                 2.6653,                 3.1995,                0.16029,                0.27681,                0.08945,                0.03017,                 2.3189,                  3.784,                 3.5283,              0.0018911,              0.0018911,              0.0018911
                     14,                 2.4002,                 2.5404,                  3.159,                0.06207,                0.16958,                 0.0332,                0.01207,                 2.2981,                  4.077,                 3.7904,              0.0018812,              0.0018812,              0.0018812
                     15,                 2.4297,                 2.5006,                 3.1034,                0.07326,                0.11848,                0.02744,                0.01098,                 2.3557,                 3.2294,                  3.846,              0.0018713,              0.0018713,              0.0018713
                     16,                 2.3426,                 2.5008,                 3.0733,                0.44429,                0.28429,                0.24068,                0.09942,                  2.158,                 2.4907,                 3.1625,              0.0018614,              0.0018614,              0.0018614
                     17,                 2.3125,                 2.4566,                 2.9993,                0.31804,                0.23609,                0.14753,                0.05916,                 2.3056,                 3.0067,                 3.3501,              0.0018515,              0.0018515,              0.0018515
                     18,                 2.2941,                 2.4596,                 3.0171,                0.17752,                 0.1596,                0.07246,                0.02627,                 2.2966,                 3.0185,                 3.3182,              0.0018416,              0.0018416,              0.0018416
                     19,                 2.2452,                 2.4146,                 2.9596,                0.47185,                0.20449,                0.19467,                0.07552,                 2.1628,                 2.5102,                 3.0896,              0.0018317,              0.0018317,              0.0018317
